# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 190                                  -6.463869             0.556515                      -5.907354 
 191                                  -6.465801             0.558459                      -5.907342 
 192                                  -6.468404             0.561076                      -5.907328 
 193                                  -6.471659             0.564342                      -5.907317 
 194                                  -6.475482             0.568177                      -5.907305 
 195                                  -6.479735             0.572435                      -5.907301 
 196                                  -6.484213             0.576914                      -5.907299 
 197                                  -6.488669             0.581378                      -5.907291 
 198                                  -6.492867             0.585587                      -5.907280 
 199                                  -6.496586             0.589327                      -5.907259 
 200                                  -6.499665             0.592430                      -5.907235 
 201                                  -6.501993             0.594792                      -5.907201 
 202                                  -6.503528             0.596368                      -5.907160 
 203                                  -6.504286             0.597169                      -5.907117 
 204                                  -6.504322             0.597249                      -5.907073 
 205                                  -6.503726             0.596691                      -5.907035 
 206                                  -6.502592             0.595598                      -5.906994 
 207                                  -6.501035             0.594078                      -5.906957 
 208                                  -6.499166             0.592241                      -5.906925 
 209                                  -6.497088             0.590187                      -5.906901 
 210                                  -6.494880             0.588002                      -5.906878 
 211                                  -6.492613             0.585762                      -5.906851 
 212                                  -6.490366             0.583536                      -5.906831 
 213                                  -6.488211             0.581397                      -5.906815 
 214                                  -6.486226             0.579424                      -5.906802 
 215                                  -6.484493             0.577698                      -5.906794 
 216                                  -6.483083             0.576292                      -5.906791 
 217                                  -6.482040             0.575254                      -5.906787 
 218                                  -6.481394             0.574605                      -5.906789 
 219                                  -6.481128             0.574334                      -5.906794 
 220                                  -6.481196             0.574399                      -5.906797 
 221                                  -6.481530             0.574730                      -5.906800 
 222                                  -6.482053             0.575237                      -5.906815 
 223                                  -6.482649             0.575816                      -5.906833 
 224                                  -6.483207             0.576354                      -5.906853 
 225                                  -6.483612             0.576746                      -5.906866 
 226                                  -6.483781             0.576909                      -5.906872 
 227                                  -6.483665             0.576795                      -5.906870 
 228                                  -6.483269             0.576400                      -5.906869 
 229                                  -6.482635             0.575765                      -5.906870 
 230                                  -6.481843             0.574969                      -5.906874 
 231                                  -6.480990             0.574111                      -5.906878 
 232                                  -6.480176             0.573294                      -5.906882 
 233                                  -6.479494             0.572608                      -5.906886 
 234                                  -6.479005             0.572113                      -5.906892 
 235                                  -6.478744             0.571843                      -5.906901 
 236                                  -6.478715             0.571802                      -5.906913 
 237                                  -6.478903             0.571976                      -5.906927 
 238                                  -6.479282             0.572343                      -5.906939 
 239                                  -6.479829             0.572878                      -5.906951 
 240                                  -6.480512             0.573558                      -5.906954 
 241                                  -6.481321             0.574360                      -5.906961 
 242                                  -6.482227             0.575257                      -5.906970 
 243                                  -6.483206             0.576221                      -5.906985 
 244                                  -6.484229             0.577222                      -5.907006 
