# Positions of the atoms in each direction in reduced units at the initial state for  Ar
 Atom                                      r(x)                 r(y)                 r(z) 
 420                                  -1.679596             4.198990            -0.839798 
 421                                  -1.679596             3.359192             0.000000 
 422                                  -0.839798             4.198990             0.000000 
 423                                  -0.839798             3.359192             0.839798 
 424                                  -1.679596             4.198990             0.839798 
 425                                  -1.679596             3.359192             1.679596 
 426                                  -0.839798             4.198990             1.679596 
 427                                  -0.839798             3.359192             2.519394 
 428                                  -1.679596             4.198990             2.519394 
 429                                  -1.679596             3.359192             3.359192 
 430                                  -0.839798             4.198990             3.359192 
 431                                  -0.839798             3.359192             4.198990 
 432                                  -1.679596             4.198990             4.198990 
 433                                   0.000000            -5.038789            -5.038789 
 434                                   0.839798            -4.198990            -5.038789 
 435                                   0.839798            -5.038789            -4.198990 
 436                                   0.000000            -4.198990            -4.198990 
 437                                   0.000000            -5.038789            -3.359192 
 438                                   0.839798            -4.198990            -3.359192 
 439                                   0.839798            -5.038789            -2.519394 
 440                                   0.000000            -4.198990            -2.519394 
 441                                   0.000000            -5.038789            -1.679596 
 442                                   0.839798            -4.198990            -1.679596 
 443                                   0.839798            -5.038789            -0.839798 
 444                                   0.000000            -4.198990            -0.839798 
 445                                   0.000000            -5.038789             0.000000 
 446                                   0.839798            -4.198990             0.000000 
 447                                   0.839798            -5.038789             0.839798 
 448                                   0.000000            -4.198990             0.839798 
 449                                   0.000000            -5.038789             1.679596 
 450                                   0.839798            -4.198990             1.679596 
 451                                   0.839798            -5.038789             2.519394 
 452                                   0.000000            -4.198990             2.519394 
 453                                   0.000000            -5.038789             3.359192 
 454                                   0.839798            -4.198990             3.359192 
 455                                   0.839798            -5.038789             4.198990 
 456                                   0.000000            -4.198990             4.198990 
 457                                   0.000000            -3.359192            -5.038789 
 458                                   0.839798            -2.519394            -5.038789 
 459                                   0.839798            -3.359192            -4.198990 
 460                                   0.000000            -2.519394            -4.198990 
 461                                   0.000000            -3.359192            -3.359192 
 462                                   0.839798            -2.519394            -3.359192 
 463                                   0.839798            -3.359192            -2.519394 
 464                                   0.000000            -2.519394            -2.519394 
 465                                   0.000000            -3.359192            -1.679596 
 466                                   0.839798            -2.519394            -1.679596 
 467                                   0.839798            -3.359192            -0.839798 
 468                                   0.000000            -2.519394            -0.839798 
 469                                   0.000000            -3.359192             0.000000 
 470                                   0.839798            -2.519394             0.000000 
 471                                   0.839798            -3.359192             0.839798 
 472                                   0.000000            -2.519394             0.839798 
 473                                   0.000000            -3.359192             1.679596 
 474                                   0.839798            -2.519394             1.679596 
 475                                   0.839798            -3.359192             2.519394 
 476                                   0.000000            -2.519394             2.519394 
 477                                   0.000000            -3.359192             3.359192 
 478                                   0.839798            -2.519394             3.359192 
 479                                   0.839798            -3.359192             4.198990 
 480                                   0.000000            -2.519394             4.198990 
 481                                   0.000000            -1.679596            -5.038789 
 482                                   0.839798            -0.839798            -5.038789 
 483                                   0.839798            -1.679596            -4.198990 
 484                                   0.000000            -0.839798            -4.198990 
 485                                   0.000000            -1.679596            -3.359192 
 486                                   0.839798            -0.839798            -3.359192 
 487                                   0.839798            -1.679596            -2.519394 
