# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 168                                  -6.547581             0.509146                      -6.038435 
 169                                  -6.547563             0.509093                      -6.038470 
 170                                  -6.547699             0.509190                      -6.038509 
 171                                  -6.547973             0.509416                      -6.038557 
 172                                  -6.548329             0.509729                      -6.038600 
 173                                  -6.548716             0.510063                      -6.038653 
 174                                  -6.549036             0.510323                      -6.038712 
 175                                  -6.549155             0.510394                      -6.038761 
 176                                  -6.548944             0.510140                      -6.038804 
 177                                  -6.548272             0.509425                      -6.038847 
 178                                  -6.547006             0.508131                      -6.038875 
 179                                  -6.545079             0.506191                      -6.038888 
 180                                  -6.542506             0.503612                      -6.038894 
 181                                  -6.539368             0.500494                      -6.038874 
 182                                  -6.535866             0.497031                      -6.038836 
 183                                  -6.532279             0.493496                      -6.038783 
 184                                  -6.528931             0.490205                      -6.038725 
 185                                  -6.526146             0.487470                      -6.038677 
 186                                  -6.524201             0.485553                      -6.038648 
 187                                  -6.523267             0.484636                      -6.038631 
 188                                  -6.523411             0.484796                      -6.038614 
 189                                  -6.524600             0.486013                      -6.038587 
 190                                  -6.526735             0.488176                      -6.038559 
 191                                  -6.529630             0.491107                      -6.038523 
 192                                  -6.533064             0.494586                      -6.038478 
 193                                  -6.536816             0.498373                      -6.038443 
 194                                  -6.540670             0.502238                      -6.038432 
 195                                  -6.544401             0.505982                      -6.038418 
 196                                  -6.547857             0.509462                      -6.038395 
 197                                  -6.550985             0.512593                      -6.038392 
 198                                  -6.553758             0.515351                      -6.038407 
 199                                  -6.556171             0.517750                      -6.038420 
 200                                  -6.558241             0.519824                      -6.038417 
 201                                  -6.559985             0.521593                      -6.038392 
 202                                  -6.561430             0.523052                      -6.038378 
 203                                  -6.562540             0.524166                      -6.038374 
 204                                  -6.563243             0.524875                      -6.038368 
 205                                  -6.563496             0.525117                      -6.038378 
 206                                  -6.563250             0.524848                      -6.038401 
 207                                  -6.562477             0.524059                      -6.038417 
 208                                  -6.561223             0.522791                      -6.038431 
 209                                  -6.559561             0.521134                      -6.038427 
 210                                  -6.557642             0.519219                      -6.038424 
 211                                  -6.555627             0.517193                      -6.038435 
 212                                  -6.553632             0.515197                      -6.038434 
 213                                  -6.551790             0.513340                      -6.038449 
 214                                  -6.550166             0.511681                      -6.038485 
 215                                  -6.548746             0.510232                      -6.038514 
 216                                  -6.547494             0.508973                      -6.038522 
 217                                  -6.546421             0.507885                      -6.038536 
 218                                  -6.545514             0.506974                      -6.038540 
 219                                  -6.544824             0.506294                      -6.038530 
 220                                  -6.544452             0.505940                      -6.038512 
 221                                  -6.544509             0.506022                      -6.038487 
 222                                  -6.545108             0.506629                      -6.038479 
 223                                  -6.546269             0.507788                      -6.038481 
 224                                  -6.547959             0.509445                      -6.038513 
 225                                  -6.550034             0.511471                      -6.038563 
 226                                  -6.552298             0.513684                      -6.038614 
